Monstre;Boss;Coffre;portes[haut,droite,bas,gauche];x;y
false;false;false;true,true,false,false;0;0
true;false;false;true,true,true,false;0;1
true;false;false;false,true,true,false;0;2
false;false;false;false,false,false,false;0;3
true;false;false;true,true,false,true;1;0
false;false;true;true,true,true,true;1;1
true;false;false;true,true,true,true;1;2
true;true;false;false,false,true,false;1;3
false;false;true;true,false,false,true;2;0
true;false;false;true,false,true,true;2;1
false;false;true;false,false,true,true;2;2
false;false;false;false,false,false,false;2;3
